sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.0014805214405059814,77,0.012987012987012988,0.03,50,0.02,48,2,a,call
0.0015115230083465577,79,0.012658227848101266,0.03,50,0.02,48,2,a,call
0.0015363888740539552,81,0.012345679012345678,0.03,50,0.02,48,2,a,call
0.0015822784900665283,83,0.012048192771084338,0.03,50,0.02,48,2,a,call
0.0016902906894683838,85,0.011764705882352941,0.03,50,0.02,48,2,a,call
0.002301267147064209,87,0.011494252873563218,0.03,50,0.02,48,2,a,call
0.002003353595733643,89,0.011235955056179775,0.03,50,0.02,48,2,a,call
0.0022825021743774414,91,0.01098901098901099,0.03,50,0.02,48,2,a,call
0.0019114081859588623,93,0.010752688172043012,0.03,50,0.02,48,2,a,call
0.0019298677444458008,95,0.010526315789473684,0.03,50,0.02,48,2,a,call
0.0019882802963256834,97,0.010309278350515464,0.03,50,0.02,48,2,a,call
0.0020871784687042237,99,0.010101010101010102,0.03,50,0.02,48,2,a,call
0.0021533114910125732,100,0.01,0.03,50,0.02,48,2,a,call
0.0024761462211608885,110,0.00909090909090909,0.03,50,0.02,48,2,a,call
0.0029725852012634276,120,0.008333333333333333,0.03,50,0.02,48,2,a,call
0.003470838785171509,130,0.007692307692307693,0.03,50,0.02,48,2,a,call
0.003971674919128418,140,0.007142857142857143,0.03,50,0.02,48,2,a,call
0.004656249046325683,150,0.006666666666666667,0.03,50,0.02,48,2,a,call
0.006261779308319092,160,0.00625,0.03,50,0.02,48,2,a,call
0.007302774429321289,170,0.0058823529411764705,0.03,50,0.02,48,2,a,call
0.009639368295669555,180,0.005555555555555556,0.03,50,0.02,48,2,a,call
0.010361080646514892,190,0.005263157894736842,0.03,50,0.02,48,2,a,call
0.011403491973876953,200,0.005,0.03,50,0.02,48,2,a,call
0.013469935894012451,210,0.004761904761904762,0.03,50,0.02,48,2,a,call
0.013537229537963867,220,0.004545454545454545,0.03,50,0.02,48,2,a,call
0.015649311542510987,230,0.004347826086956522,0.03,50,0.02,48,2,a,call
0.016378188610076904,240,0.004166666666666667,0.03,50,0.02,48,2,a,call
0.018292513847351075,250,0.004,0.03,50,0.02,48,2,a,call
0.01938091492652893,260,0.0038461538461538464,0.03,50,0.02,48,2,a,call
0.0243720223903656,270,0.003703703703703704,0.03,50,0.02,48,2,a,call
0.024366342067718507,280,0.0035714285714285713,0.03,50,0.02,48,2,a,call
0.026157920122146607,290,0.0034482758620689655,0.03,50,0.02,48,2,a,call
0.026080900430679323,300,0.0033333333333333335,0.03,50,0.02,48,2,a,call
0.027489243507385255,310,0.0032258064516129032,0.03,50,0.02,48,2,a,call
0.029297821044921873,320,0.003125,0.03,50,0.02,48,2,a,call
0.031137902021408082,330,0.0030303030303030303,0.03,50,0.02,48,2,a,call
0.03298453569412232,340,0.0029411764705882353,0.03,50,0.02,48,2,a,call
0.03494560241699219,350,0.002857142857142857,0.03,50,0.02,48,2,a,call
0.04428320050239563,360,0.002777777777777778,0.03,50,0.02,48,2,a,call
0.043400382041931154,370,0.002702702702702703,0.03,50,0.02,48,2,a,call
0.045800885677337644,380,0.002631578947368421,0.03,50,0.02,48,2,a,call
0.04837585210800171,390,0.002564102564102564,0.03,50,0.02,48,2,a,call
0.05078103399276734,400,0.0025,0.03,50,0.02,48,2,a,call
0.05334770941734314,410,0.0024390243902439024,0.03,50,0.02,48,2,a,call
0.05363343501091004,420,0.002380952380952381,0.03,50,0.02,48,2,a,call
0.054451515436172486,430,0.002325581395348837,0.03,50,0.02,48,2,a,call
0.057967556715011595,440,0.0022727272727272726,0.03,50,0.02,48,2,a,call
0.059700766563415525,450,0.0022222222222222222,0.03,50,0.02,48,2,a,call
0.062205546617507934,460,0.002173913043478261,0.03,50,0.02,48,2,a,call
0.06487450528144836,470,0.002127659574468085,0.03,50,0.02,48,2,a,call
0.07443295669555663,480,0.0020833333333333333,0.03,50,0.02,48,2,a,call
0.07180468559265137,490,0.0020408163265306124,0.03,50,0.02,48,2,a,call
0.07489344787597656,500,0.002,0.03,50,0.02,48,2,a,call
0.11080266404151916,550,0.0018181818181818182,0.03,50,0.02,48,2,a,call
0.13013334155082704,600,0.0016666666666666668,0.03,50,0.02,48,2,a,call
0.15365454363822936,650,0.0015384615384615385,0.03,50,0.02,48,2,a,call
0.19341731238365173,700,0.0014285714285714286,0.03,50,0.02,48,2,a,call
0.21605600690841675,750,0.0013333333333333333,0.03,50,0.02,48,2,a,call
0.2309670021533966,800,0.00125,0.03,50,0.02,48,2,a,call
0.2729716930389404,850,0.001176470588235294,0.03,50,0.02,48,2,a,call
0.3231232476234436,900,0.0011111111111111111,0.03,50,0.02,48,2,a,call
0.3336468143463135,950,0.0010526315789473684,0.03,50,0.02,48,2,a,call
1.1968135833740234e-05,1,1.0,0.03,50,0.02,48,2,a,put
1.4963626861572266e-05,3,0.3333333333333333,0.03,50,0.02,48,2,a,put
2.3943424224853516e-05,5,0.2,0.03,50,0.02,48,2,a,put
2.8226137161254882e-05,7,0.14285714285714285,0.03,50,0.02,48,2,a,put
3.806543350219726e-05,9,0.1111111111111111,0.03,50,0.02,48,2,a,put
4.9051761627197266e-05,11,0.09090909090909091,0.03,50,0.02,48,2,a,put
6.433677673339844e-05,13,0.07692307692307693,0.03,50,0.02,48,2,a,put
7.979965209960938e-05,15,0.06666666666666667,0.03,50,0.02,48,2,a,put
8.993124961853028e-05,17,0.058823529411764705,0.03,50,0.02,48,2,a,put
0.00010787487030029296,19,0.05263157894736842,0.03,50,0.02,48,2,a,put
0.0001259465217590332,21,0.047619047619047616,0.03,50,0.02,48,2,a,put
0.00015399003028869628,23,0.043478260869565216,0.03,50,0.02,48,2,a,put
0.00018293380737304687,25,0.04,0.03,50,0.02,48,2,a,put
0.00020508074760437013,27,0.037037037037037035,0.03,50,0.02,48,2,a,put
0.0002477960586547852,29,0.034482758620689655,0.03,50,0.02,48,2,a,put
0.0002691843509674072,31,0.03225806451612903,0.03,50,0.02,48,2,a,put
0.0002900230884552002,33,0.030303030303030304,0.03,50,0.02,48,2,a,put
0.00032296180725097654,35,0.02857142857142857,0.03,50,0.02,48,2,a,put
0.0003520493507385254,37,0.02702702702702703,0.03,50,0.02,48,2,a,put
0.00038695478439331057,39,0.02564102564102564,0.03,50,0.02,48,2,a,put
0.00042810869216918944,41,0.024390243902439025,0.03,50,0.02,48,2,a,put
0.0004594118595123291,43,0.023255813953488372,0.03,50,0.02,48,2,a,put
0.0005285964012145996,45,0.022222222222222223,0.03,50,0.02,48,2,a,put
0.0005500667095184326,47,0.02127659574468085,0.03,50,0.02,48,2,a,put
0.0006109035015106201,49,0.02040816326530612,0.03,50,0.02,48,2,a,put
0.0006702516078948975,51,0.0196078431372549,0.03,50,0.02,48,2,a,put
0.0007605712413787842,53,0.018867924528301886,0.03,50,0.02,48,2,a,put
0.0009299366474151611,55,0.01818181818181818,0.03,50,0.02,48,2,a,put
0.0009960761070251464,57,0.017543859649122806,0.03,50,0.02,48,2,a,put
0.00108896803855896,59,0.01694915254237288,0.03,50,0.02,48,2,a,put
0.0015220301151275635,61,0.01639344262295082,0.03,50,0.02,48,2,a,put
0.0014589025974273682,63,0.015873015873015872,0.03,50,0.02,48,2,a,put
0.0017671916484832764,65,0.015384615384615385,0.03,50,0.02,48,2,a,put
