cena_opcji,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
8.24162401794153,2.0,0.5,0.3,50.0,-0.03,48.0,2.0,a,call
8.530070243712762,2.0,0.5,0.3,50.0,-0.019999999999999997,48.0,2.0,a,call
8.817770726655153,2.0,0.5,0.3,50.0,-0.009999999999999995,48.0,2.0,a,call
9.104512659097468,2.0,0.5,0.3,50.0,6.938893903907228e-18,48.0,2.0,a,call
9.543412844113076,2.0,0.5,0.3,50.0,0.010000000000000009,48.0,2.0,a,call
9.98941005779376,2.0,0.5,0.3,50.0,0.02000000000000001,48.0,2.0,a,call
10.442146015370104,2.0,0.5,0.3,50.0,0.030000000000000013,48.0,2.0,a,call
10.901256859277687,2.0,0.5,0.3,50.0,0.04000000000000001,48.0,2.0,a,call
11.366373694886267,2.0,0.5,0.3,50.0,0.05000000000000002,48.0,2.0,a,call
11.837123106540435,2.0,0.5,0.3,50.0,0.060000000000000026,48.0,2.0,a,call
12.31312765446576,2.0,0.5,0.3,50.0,0.07000000000000002,48.0,2.0,a,call
12.794006353081112,2.0,0.5,0.3,50.0,0.08000000000000002,48.0,2.0,a,call
13.279375131244343,2.0,0.5,0.3,50.0,0.09000000000000002,48.0,2.0,a,call
13.76884727494544,2.0,0.5,0.3,50.0,0.10000000000000003,48.0,2.0,a,call
14.262033852948447,2.0,0.5,0.3,50.0,0.11000000000000001,48.0,2.0,a,call
14.758544125871172,2.0,0.5,0.3,50.0,0.12000000000000002,48.0,2.0,a,call
15.257985939178818,2.0,0.5,0.3,50.0,0.13000000000000003,48.0,2.0,a,call
15.759966100556623,2.0,0.5,0.3,50.0,0.14000000000000004,48.0,2.0,a,call
16.26409074211427,2.0,0.5,0.3,50.0,0.15000000000000005,48.0,2.0,a,call
16.769965667863865,2.0,0.5,0.3,50.0,0.16000000000000003,48.0,2.0,a,call
17.27719668690162,2.0,0.5,0.3,50.0,0.17000000000000004,48.0,2.0,a,call
17.78538993271335,2.0,0.5,0.3,50.0,0.18000000000000005,48.0,2.0,a,call
