sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
0.0,1,1.0,0.03,50,0.02,48,2,a,call
0.0,2,0.5,0.03,50,0.02,48,2,a,call
0.0,3,0.3333333333333333,0.03,50,0.02,48,2,a,call
0.0,4,0.25,0.03,50,0.02,48,2,a,call
0.0,5,0.2,0.03,50,0.02,48,2,a,call
0.0,6,0.16666666666666666,0.03,50,0.02,48,2,a,call
0.0,7,0.14285714285714285,0.03,50,0.02,48,2,a,call
0.0,8,0.125,0.03,50,0.02,48,2,a,call
0.0,9,0.1111111111111111,0.03,50,0.02,48,2,a,call
0.0,10,0.1,0.03,50,0.02,48,2,a,call
0.0,11,0.09090909090909091,0.03,50,0.02,48,2,a,call
0.0,12,0.08333333333333333,0.03,50,0.02,48,2,a,call
0.0,13,0.07692307692307693,0.03,50,0.02,48,2,a,call
0.0,14,0.07142857142857142,0.03,50,0.02,48,2,a,call
0.007810711860656738,15,0.06666666666666667,0.03,50,0.02,48,2,a,call
0.0,16,0.0625,0.03,50,0.02,48,2,a,call
0.0,17,0.058823529411764705,0.03,50,0.02,48,2,a,call
0.0,18,0.05555555555555555,0.03,50,0.02,48,2,a,call
0.0,19,0.05263157894736842,0.03,50,0.02,48,2,a,call
0.0,20,0.05,0.03,50,0.02,48,2,a,call
0.0,21,0.047619047619047616,0.03,50,0.02,48,2,a,call
0.0,22,0.045454545454545456,0.03,50,0.02,48,2,a,call
0.0,23,0.043478260869565216,0.03,50,0.02,48,2,a,call
0.007809638977050781,24,0.041666666666666664,0.03,50,0.02,48,2,a,call
0.0,25,0.04,0.03,50,0.02,48,2,a,call
0.0,26,0.038461538461538464,0.03,50,0.02,48,2,a,call
0.0,27,0.037037037037037035,0.03,50,0.02,48,2,a,call
0.0,28,0.03571428571428571,0.03,50,0.02,48,2,a,call
0.0,29,0.034482758620689655,0.03,50,0.02,48,2,a,call
0.0,30,0.03333333333333333,0.03,50,0.02,48,2,a,call
0.0,31,0.03225806451612903,0.03,50,0.02,48,2,a,call
0.007810831069946289,32,0.03125,0.03,50,0.02,48,2,a,call
0.0,33,0.030303030303030304,0.03,50,0.02,48,2,a,call
0.0,34,0.029411764705882353,0.03,50,0.02,48,2,a,call
0.0,35,0.02857142857142857,0.03,50,0.02,48,2,a,call
0.0,36,0.027777777777777776,0.03,50,0.02,48,2,a,call
0.0,37,0.02702702702702703,0.03,50,0.02,48,2,a,call
0.0,38,0.02631578947368421,0.03,50,0.02,48,2,a,call
0.0,39,0.02564102564102564,0.03,50,0.02,48,2,a,call
0.0,40,0.025,0.03,50,0.02,48,2,a,call
0.0,41,0.024390243902439025,0.03,50,0.02,48,2,a,call
0.0,42,0.023809523809523808,0.03,50,0.02,48,2,a,call
0.0,43,0.023255813953488372,0.03,50,0.02,48,2,a,call
0.0,44,0.022727272727272728,0.03,50,0.02,48,2,a,call
0.0,45,0.022222222222222223,0.03,50,0.02,48,2,a,call
0.0,46,0.021739130434782608,0.03,50,0.02,48,2,a,call
0.0,47,0.02127659574468085,0.03,50,0.02,48,2,a,call
0.0,48,0.020833333333333332,0.03,50,0.02,48,2,a,call
0.0,49,0.02040816326530612,0.03,50,0.02,48,2,a,call
0.0,50,0.02,0.03,50,0.02,48,2,a,call
0.0,51,0.0196078431372549,0.03,50,0.02,48,2,a,call
0.0,52,0.019230769230769232,0.03,50,0.02,48,2,a,call
0.0,53,0.018867924528301886,0.03,50,0.02,48,2,a,call
0.0,54,0.018518518518518517,0.03,50,0.02,48,2,a,call
0.0,55,0.01818181818181818,0.03,50,0.02,48,2,a,call
0.0,56,0.017857142857142856,0.03,50,0.02,48,2,a,call
0.007812142372131348,57,0.017543859649122806,0.03,50,0.02,48,2,a,call
0.0,58,0.017241379310344827,0.03,50,0.02,48,2,a,call
0.0,59,0.01694915254237288,0.03,50,0.02,48,2,a,call
0.0,60,0.016666666666666666,0.03,50,0.02,48,2,a,call
0.0,61,0.01639344262295082,0.03,50,0.02,48,2,a,call
0.007809638977050781,62,0.016129032258064516,0.03,50,0.02,48,2,a,call
0.0,63,0.015873015873015872,0.03,50,0.02,48,2,a,call
0.0,64,0.015625,0.03,50,0.02,48,2,a,call
0.0,65,0.015384615384615385,0.03,50,0.02,48,2,a,call
0.0,66,0.015151515151515152,0.03,50,0.02,48,2,a,call
0.0078116655349731445,67,0.014925373134328358,0.03,50,0.02,48,2,a,call
0.0,68,0.014705882352941176,0.03,50,0.02,48,2,a,call
0.0,69,0.014492753623188406,0.03,50,0.02,48,2,a,call
0.0,70,0.014285714285714285,0.03,50,0.02,48,2,a,call
0.0,71,0.014084507042253521,0.03,50,0.02,48,2,a,call
0.0,72,0.013888888888888888,0.03,50,0.02,48,2,a,call
0.0,73,0.0136986301369863,0.03,50,0.02,48,2,a,call
0.0,74,0.013513513513513514,0.03,50,0.02,48,2,a,call
0.007806897163391113,75,0.013333333333333334,0.03,50,0.02,48,2,a,call
0.0,76,0.013157894736842105,0.03,50,0.02,48,2,a,call
0.0,77,0.012987012987012988,0.03,50,0.02,48,2,a,call
0.0,78,0.01282051282051282,0.03,50,0.02,48,2,a,call
0.007826685905456543,79,0.012658227848101266,0.03,50,0.02,48,2,a,call
0.0,80,0.0125,0.03,50,0.02,48,2,a,call
0.0,81,0.012345679012345678,0.03,50,0.02,48,2,a,call
0.007794976234436035,82,0.012195121951219513,0.03,50,0.02,48,2,a,call
0.0,83,0.012048192771084338,0.03,50,0.02,48,2,a,call
0.0,84,0.011904761904761904,0.03,50,0.02,48,2,a,call
0.007811188697814941,85,0.011764705882352941,0.03,50,0.02,48,2,a,call
0.0018589496612548828,86,0.011627906976744186,0.03,50,0.02,48,2,a,call
0.0,87,0.011494252873563218,0.03,50,0.02,48,2,a,call
0.0,88,0.011363636363636364,0.03,50,0.02,48,2,a,call
0.007813692092895508,89,0.011235955056179775,0.03,50,0.02,48,2,a,call
0.0,90,0.011111111111111112,0.03,50,0.02,48,2,a,call
0.0,91,0.01098901098901099,0.03,50,0.02,48,2,a,call
0.00781857967376709,92,0.010869565217391304,0.03,50,0.02,48,2,a,call
0.003997087478637695,93,0.010752688172043012,0.03,50,0.02,48,2,a,call
0.0,94,0.010638297872340425,0.03,50,0.02,48,2,a,call
0.003997087478637695,95,0.010526315789473684,0.03,50,0.02,48,2,a,call
0.0,96,0.010416666666666666,0.03,50,0.02,48,2,a,call
0.003998398780822754,97,0.010309278350515464,0.03,50,0.02,48,2,a,call
0.003997921943664551,98,0.01020408163265306,0.03,50,0.02,48,2,a,call
0.003996849060058594,99,0.010101010101010102,0.03,50,0.02,48,2,a,call
0.004164457321166992,100,0.01,0.03,50,0.02,48,2,a,call
0.0,110,0.00909090909090909,0.03,50,0.02,48,2,a,call
0.004003405570983887,120,0.008333333333333333,0.03,50,0.02,48,2,a,call
0.003987789154052734,130,0.007692307692307693,0.03,50,0.02,48,2,a,call
0.006345152854919434,140,0.007142857142857143,0.03,50,0.02,48,2,a,call
0.004089236259460449,150,0.006666666666666667,0.03,50,0.02,48,2,a,call
0.012088418006896973,160,0.00625,0.03,50,0.02,48,2,a,call
0.008047699928283691,170,0.0058823529411764705,0.03,50,0.02,48,2,a,call
0.007815122604370117,180,0.005555555555555556,0.03,50,0.02,48,2,a,call
0.0156172513961792,190,0.005263157894736842,0.03,50,0.02,48,2,a,call
0.015623688697814941,200,0.005,0.03,50,0.02,48,2,a,call
0.015620708465576172,210,0.004761904761904762,0.03,50,0.02,48,2,a,call
0.007816433906555176,220,0.004545454545454545,0.03,50,0.02,48,2,a,call
0.015611052513122559,230,0.004347826086956522,0.03,50,0.02,48,2,a,call
0.01563262939453125,240,0.004166666666666667,0.03,50,0.02,48,2,a,call
0.015627026557922363,250,0.004,0.03,50,0.02,48,2,a,call
