sredni_czas,odw_t,t,sigma,S_0,r,K,T,opcja,wersja
3.597497940063476e-05,1,1.0,0.03,50,0.02,48,2,a,call
0.00010436058044433594,21,0.047619047619047616,0.03,50,0.02,48,2,a,call
0.0004031848907470703,41,0.024390243902439025,0.03,50,0.02,48,2,a,call
0.001102745532989502,61,0.01639344262295082,0.03,50,0.02,48,2,a,call
0.0017999768257141112,81,0.012345679012345678,0.03,50,0.02,48,2,a,call
0.0033461737632751467,101,0.009900990099009901,0.03,50,0.02,48,2,a,call
0.004449419975280762,121,0.008264462809917356,0.03,50,0.02,48,2,a,call
0.005649735927581787,141,0.0070921985815602835,0.03,50,0.02,48,2,a,call
0.007500827312469482,161,0.006211180124223602,0.03,50,0.02,48,2,a,call
0.013710980415344238,181,0.0055248618784530384,0.03,50,0.02,48,2,a,call
0.015123600959777833,201,0.004975124378109453,0.03,50,0.02,48,2,a,call
0.01716536045074463,221,0.004524886877828055,0.03,50,0.02,48,2,a,call
0.020953061580657958,241,0.004149377593360996,0.03,50,0.02,48,2,a,call
0.02382373094558716,261,0.0038314176245210726,0.03,50,0.02,48,2,a,call
0.028457295894622803,281,0.0035587188612099642,0.03,50,0.02,48,2,a,call
0.034898793697357176,301,0.0033222591362126247,0.03,50,0.02,48,2,a,call
0.03258281469345093,321,0.003115264797507788,0.03,50,0.02,48,2,a,call
0.03739227533340454,341,0.002932551319648094,0.03,50,0.02,48,2,a,call
0.044369428157806395,361,0.002770083102493075,0.03,50,0.02,48,2,a,call
0.04930255651473999,381,0.0026246719160104987,0.03,50,0.02,48,2,a,call
0.05894812822341919,401,0.0024937655860349127,0.03,50,0.02,48,2,a,call
0.07302085638046264,421,0.0023752969121140144,0.03,50,0.02,48,2,a,call
0.08890373945236206,441,0.0022675736961451248,0.03,50,0.02,48,2,a,call
0.08657787084579467,461,0.0021691973969631237,0.03,50,0.02,48,2,a,call
0.0911972713470459,481,0.002079002079002079,0.03,50,0.02,48,2,a,call
0.09689444303512573,501,0.001996007984031936,0.03,50,0.02,48,2,a,call
0.1056941533088684,521,0.0019193857965451055,0.03,50,0.02,48,2,a,call
0.1139244294166565,541,0.0018484288354898336,0.03,50,0.02,48,2,a,call
0.12138545513153076,561,0.0017825311942959,0.03,50,0.02,48,2,a,call
0.13211196899414063,581,0.0017211703958691911,0.03,50,0.02,48,2,a,call
0.14728049278259278,601,0.0016638935108153079,0.03,50,0.02,48,2,a,call
0.18032060146331788,621,0.001610305958132045,0.03,50,0.02,48,2,a,call
0.1813398265838623,641,0.0015600624024961,0.03,50,0.02,48,2,a,call
0.1845645046234131,661,0.0015128593040847202,0.03,50,0.02,48,2,a,call
0.189288649559021,681,0.0014684287812041115,0.03,50,0.02,48,2,a,call
0.19488818168640137,701,0.0014265335235378032,0.03,50,0.02,48,2,a,call
0.20331379175186157,721,0.0013869625520110957,0.03,50,0.02,48,2,a,call
0.21742759943008422,741,0.001349527665317139,0.03,50,0.02,48,2,a,call
0.2272610855102539,761,0.001314060446780552,0.03,50,0.02,48,2,a,call
0.24115424633026122,781,0.0012804097311139564,0.03,50,0.02,48,2,a,call
0.27426245450973513,801,0.0012484394506866417,0.03,50,0.02,48,2,a,call
0.2745166230201721,821,0.001218026796589525,0.03,50,0.02,48,2,a,call
0.33913358449935915,841,0.0011890606420927466,0.03,50,0.02,48,2,a,call
0.4645167541503906,861,0.0011614401858304297,0.03,50,0.02,48,2,a,call
0.491279284954071,881,0.0011350737797956867,0.03,50,0.02,48,2,a,call
0.5277565789222717,901,0.0011098779134295228,0.03,50,0.02,48,2,a,call
0.5704969692230225,921,0.0010857763300760044,0.03,50,0.02,48,2,a,call
0.5856775116920471,941,0.0010626992561105207,0.03,50,0.02,48,2,a,call
0.3652858448028564,961,0.001040582726326743,0.03,50,0.02,48,2,a,call
0.3946048355102539,981,0.0010193679918450561,0.03,50,0.02,48,2,a,call
9.989738464355468e-06,1,1.0,0.03,50,0.02,48,2,a,put
0.00013068199157714844,21,0.047619047619047616,0.03,50,0.02,48,2,a,put
0.00042362213134765624,41,0.024390243902439025,0.03,50,0.02,48,2,a,put
0.0009470796585083008,61,0.01639344262295082,0.03,50,0.02,48,2,a,put
0.001526329517364502,81,0.012345679012345678,0.03,50,0.02,48,2,a,put
0.0023326969146728518,101,0.009900990099009901,0.03,50,0.02,48,2,a,put
0.0033019518852233885,121,0.008264462809917356,0.03,50,0.02,48,2,a,put
0.004510507583618164,141,0.0070921985815602835,0.03,50,0.02,48,2,a,put
0.005844104290008545,161,0.006211180124223602,0.03,50,0.02,48,2,a,put
0.010588581562042237,181,0.0055248618784530384,0.03,50,0.02,48,2,a,put
0.013139731884002685,201,0.004975124378109453,0.03,50,0.02,48,2,a,put
0.016626038551330567,221,0.004524886877828055,0.03,50,0.02,48,2,a,put
0.020860443115234373,241,0.004149377593360996,0.03,50,0.02,48,2,a,put
0.024861183166503906,261,0.0038314176245210726,0.03,50,0.02,48,2,a,put
0.026617577075958253,281,0.0035587188612099642,0.03,50,0.02,48,2,a,put
0.03059673070907593,301,0.0033222591362126247,0.03,50,0.02,48,2,a,put
0.03503998041152954,321,0.003115264797507788,0.03,50,0.02,48,2,a,put
0.04068689346313477,341,0.002932551319648094,0.03,50,0.02,48,2,a,put
0.04563997745513916,361,0.002770083102493075,0.03,50,0.02,48,2,a,put
0.05131981372833252,381,0.0026246719160104987,0.03,50,0.02,48,2,a,put
0.05657435178756714,401,0.0024937655860349127,0.03,50,0.02,48,2,a,put
0.06309837102890015,421,0.0023752969121140144,0.03,50,0.02,48,2,a,put
0.06955651521682739,441,0.0022675736961451248,0.03,50,0.02,48,2,a,put
0.08083784103393554,461,0.0021691973969631237,0.03,50,0.02,48,2,a,put
0.09126325845718383,481,0.002079002079002079,0.03,50,0.02,48,2,a,put
0.09921267986297608,501,0.001996007984031936,0.03,50,0.02,48,2,a,put
0.10638041973114014,521,0.0019193857965451055,0.03,50,0.02,48,2,a,put
0.11522733211517334,541,0.0018484288354898336,0.03,50,0.02,48,2,a,put
0.12432146549224854,561,0.0017825311942959,0.03,50,0.02,48,2,a,put
0.13441373586654662,581,0.0017211703958691911,0.03,50,0.02,48,2,a,put
0.14210676431655883,601,0.0016638935108153079,0.03,50,0.02,48,2,a,put
0.1522568941116333,621,0.001610305958132045,0.03,50,0.02,48,2,a,put
0.161201331615448,641,0.0015600624024961,0.03,50,0.02,48,2,a,put
0.17374646663665771,661,0.0015128593040847202,0.03,50,0.02,48,2,a,put
0.18428812503814698,681,0.0014684287812041115,0.03,50,0.02,48,2,a,put
